id,title,linked_parents,fragments_count,text_length,dublincore.creator,dublincore.identifier,dublincore.title
ENCPOS_1972_02,Le prieuré de Saint-Martin-des-Champs à Paris : étude historique et archéologique,"[""ENCPOS_1972""]",5,19458,Catherine Berthier-Georgesco,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_02,Le prieuré de Saint-Martin-des-Champs à Paris : étude historique et archéologique
ENCPOS_1972_07,Aspects économiques et sociaux de la vie rurale en Nivernais : la paroisse de Saint-Parize-le-Châtel au milieu du xviiie siècle,"[""ENCPOS_1972""]",4,17803,Marie-Andrée Guyot-Ledoux,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_07,Aspects économiques et sociaux de la vie rurale en Nivernais : la paroisse de Saint-Parize-le-Châtel au milieu du xviiie siècle
ENCPOS_1972_03,La Madeleine de Châteaudun : étude archéologique,"[""ENCPOS_1972""]",3,14901,Sophie Bévillard,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_03,La Madeleine de Châteaudun : étude archéologique
ENCPOS_1972_10,Le couvent des Grands Carmes de Toulouse (1264-1810),"[""ENCPOS_1972""]",4,17317,Sabine Lesur,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_10,Le couvent des Grands Carmes de Toulouse (1264-1810)
ENCPOS_1972_01,Les statuts d’une colonie génoise en Corse : Bonifacio à la fin du Moyen Âge,"[""ENCPOS_1972""]",6,9872,Marie-Claude Bartoli,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_01,Les statuts d’une colonie génoise en Corse : Bonifacio à la fin du Moyen Âge
ENCPOS_1972_09,Le cartulaire de l’abbaye de Saint-Seine : introduction historique et édition critique,"[""ENCPOS_1972""]",4,18819,Michel de Lemps,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_09,Le cartulaire de l’abbaye de Saint-Seine : introduction historique et édition critique
ENCPOS_1972_12,Les notables de l’élection de Carentan (1670-1790),"[""ENCPOS_1972""]",5,12737,Gérard Mauduech,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_12,Les notables de l’élection de Carentan (1670-1790)
ENCPOS_1972_11,La vie des nobles en Cornouaille à la fin de l’Ancien Régime,"[""ENCPOS_1972""]",7,14451,Michel Maréchal,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_11,La vie des nobles en Cornouaille à la fin de l’Ancien Régime
ENCPOS_1972_08,Les routes de la généralité de Châlons-sur-Marne au xviiie siècle,"[""ENCPOS_1972""]",13,11418,Martine Illaire,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_08,Les routes de la généralité de Châlons-sur-Marne au xviiie siècle
ENCPOS_1972_04,Les pélerinages à Jérusalem et au mont Sinaï du xive au xvie siècle,"[""ENCPOS_1972""]",5,22763,Pauline Cantoni,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_04,Les pélerinages à Jérusalem et au mont Sinaï du xive au xvie siècle
ENCPOS_1972_05,Le Conseil d’État sous la Restauration,"[""ENCPOS_1972""]",5,14246,Michel Chabin,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_05,Le Conseil d’État sous la Restauration
ENCPOS_1972_06,Les plus anciennes chartes en langue française de l’Aube et de la Seine-et-Marne,"[""ENCPOS_1972""]",4,3006,Dominique Coq,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_06,Les plus anciennes chartes en langue française de l’Aube et de la Seine-et-Marne
ENCPOS_1972_14,Marle à la fin de l’Ancien Régime : étude de la société et de la vie sociale dans une petite ville de 1760 à 1789,"[""ENCPOS_1972""]",3,14118,Dominique Morelon-Péry,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_14,Marle à la fin de l’Ancien Régime : étude de la société et de la vie sociale dans une petite ville de 1760 à 1789
ENCPOS_1972_13,Le développement historique de la ville d’Amboise des origines jusqu’à la fin du xviiie siècle,"[""ENCPOS_1972""]",5,8454,Jacqueline Melet,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_13,Le développement historique de la ville d’Amboise des origines jusqu’à la fin du xviiie siècle
ENCPOS_1972_19,La société de la paroisse Saint-Michel de Bordeaux (vers 1470-vers 1520),"[""ENCPOS_1972""]",3,7885,Mireille Pastoureau-Laprébande,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_19,La société de la paroisse Saint-Michel de Bordeaux (vers 1470-vers 1520)
ENCPOS_1972_22,Coutances au xviiie siècle : vie urbaine et administration municipale,"[""ENCPOS_1972""]",5,9375,Marc Sanson,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_22,Coutances au xviiie siècle : vie urbaine et administration municipale
ENCPOS_1972_15,La vie économique et sociale à Ambert au xviiie siècle,"[""ENCPOS_1972""]",4,3797,Évelyne Morin,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_15,La vie économique et sociale à Ambert au xviiie siècle
ENCPOS_1972_17,Les relations des rois de France et des princes protestants allemands (1541-1559),"[""ENCPOS_1972""]",4,13347,Jean-Daniel Pariset,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_17,Les relations des rois de France et des princes protestants allemands (1541-1559)
ENCPOS_1972_23,"Quatre paroisses en bas Limousin au xviiie siècle : Allassac, Donzenac, Sadroc, Voutezac, étude économique et sociale","[""ENCPOS_1972""]",4,9813,Yves Soulingeas,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_23,"Quatre paroisses en bas Limousin au xviiie siècle : Allassac, Donzenac, Sadroc, Voutezac, étude économique et sociale"
ENCPOS_1972_16,Les origines du monachisme dans le diocèse de Besançon (ve-xe siècle),"[""ENCPOS_1972""]",4,13216,Gérard Moyse,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_16,Les origines du monachisme dans le diocèse de Besançon (ve-xe siècle)
ENCPOS_1972_24,La Terreur dans le district de Brignoles (Var),"[""ENCPOS_1972""]",7,8307,Michèle Tilloy,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_24,La Terreur dans le district de Brignoles (Var)
ENCPOS_1972_20,"Guillaume de Varye, facteur de Jacques Cœur et général des finances de Louis XI","[""ENCPOS_1972""]",6,8054,Marie-Édith Poulon,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_20,"Guillaume de Varye, facteur de Jacques Cœur et général des finances de Louis XI"
ENCPOS_1972_18,Le bestiaire héraldique au Moyen Âge,"[""ENCPOS_1972""]",4,23457,Michel Pastoureau,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_18,Le bestiaire héraldique au Moyen Âge
ENCPOS_1972_21,Les forges des princes de Condé en Bretagne aux xviie et xviiie siècles,"[""ENCPOS_1972""]",5,6434,Perrine Ramin,https://dev.chartes.psl.eu/dots/api/dts/collection?id=ENCPOS_1972_21,Les forges des princes de Condé en Bretagne aux xviie et xviiie siècles
